epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.45102,2.20046,6.79469,1.1983,0,0,0,0,2.08468,5.02882,1.19317,0.000175,0.000175,0.000175
2,5.56475,1.96424,6.17233,1.12187,0,0,0,0,1.48244,4.53036,0.96776,0.000358911,0.000358911,0.000358911
3,7.42594,1.77912,4.81334,1.03802,0.00012,0.02151,7e-05,3e-05,1.50261,4.24155,0.93607,0.00053911,0.00053911,0.00053911
4,9.29522,1.70557,4.41103,1.01683,0.00278,0.4383,0.19955,0.10547,1.48366,3.80648,0.96295,0.000715596,0.000715596,0.000715596
5,11.176,1.80397,4.25738,1.04739,0.00324,0.4808,0.19324,0.10107,1.45056,3.73936,0.96203,0.00088837,0.00088837,0.00088837
6,13.1375,1.63297,3.70447,0.99069,0.0042,0.64004,0.38504,0.22099,1.43187,3.46216,0.95819,0.00105743,0.00105743,0.00105743
7,15.1109,1.52961,3.78749,1.0016,0.8055,0.15501,0.52041,0.28884,1.4847,2.91261,0.99128,0.00117575,0.00117575,0.00117575
8,17.3173,1.7033,3.34072,1.06461,0.42826,0.52842,0.54469,0.32212,1.48291,2.32956,1.00556,0.00116337,0.00116337,0.00116337
9,19.1565,1.5572,3.24586,0.98109,0.53379,0.45403,0.62059,0.3474,1.5367,2.38234,1.00958,0.001151,0.001151,0.001151
10,21.0383,1.47094,3.12028,0.98132,0.52211,0.60164,0.65663,0.40229,1.42775,1.83501,0.9901,0.00113863,0.00113863,0.00113863
11,22.9045,1.51348,3.12603,0.97474,0.52211,0.60164,0.65663,0.40229,1.42775,1.83501,0.9901,0.00112625,0.00112625,0.00112625
12,24.7901,1.56148,2.77797,1.00887,0.51696,0.66103,0.6929,0.42249,1.39716,1.59654,0.98273,0.00111388,0.00111388,0.00111388
13,26.7759,1.58977,2.8958,0.94929,0.55232,0.81464,0.74244,0.39455,1.63148,1.61981,1.03393,0.0011015,0.0011015,0.0011015
14,28.8312,1.57202,2.71732,1.02522,0.71314,0.75627,0.82995,0.44056,1.52105,1.52112,1.00012,0.00108913,0.00108913,0.00108913
15,30.7498,1.4969,2.68745,0.95028,0.85017,0.77205,0.83466,0.53877,1.28868,1.4355,0.95453,0.00107675,0.00107675,0.00107675
16,32.5995,1.53043,2.89817,0.9842,0.72715,0.7619,0.82694,0.5195,1.26851,1.46854,0.95278,0.00106437,0.00106437,0.00106437
17,34.4622,1.46222,2.59001,0.9195,0.80733,0.70353,0.81841,0.47259,1.37108,1.44168,0.96165,0.001052,0.001052,0.001052
18,36.3497,1.36171,2.46215,0.98596,0.77137,0.78674,0.82828,0.48466,1.35172,1.42251,0.96335,0.00103962,0.00103962,0.00103962
19,38.1884,1.33654,2.32669,0.93726,0.72494,0.80952,0.82612,0.52294,1.29523,1.24392,0.95204,0.00102725,0.00102725,0.00102725
20,40.0222,1.28963,2.48577,0.91043,0.78043,0.85714,0.86433,0.55617,1.29006,1.33637,0.94688,0.00101488,0.00101488,0.00101488
21,42.0695,1.3169,2.02994,0.93705,0.79675,0.85714,0.88503,0.57653,1.22402,1.23736,0.93312,0.0010025,0.0010025,0.0010025
22,43.9691,1.35382,2.24135,0.92036,0.91994,0.85714,0.92313,0.56047,1.23661,1.29881,0.93881,0.000990125,0.000990125,0.000990125
23,45.8441,1.30666,2.446,0.91761,0.9161,0.87519,0.93909,0.60413,1.20746,1.27378,0.93036,0.00097775,0.00097775,0.00097775
24,47.7341,1.26146,2.0732,0.93284,0.91408,0.88889,0.94412,0.61077,1.2119,1.06995,0.92432,0.000965375,0.000965375,0.000965375
25,49.6182,1.36265,2.14986,0.92547,0.90209,0.85814,0.93904,0.64497,1.10126,1.05932,0.90384,0.000953,0.000953,0.000953
26,51.473,1.18415,1.90336,0.93991,0.9575,0.81529,0.94776,0.64517,1.10893,1.05578,0.90527,0.000940625,0.000940625,0.000940625
27,53.4768,1.25467,1.81521,0.91338,0.9575,0.81529,0.94776,0.64517,1.10893,1.05578,0.90527,0.00092825,0.00092825,0.00092825
28,55.3518,1.26145,1.99453,0.90509,0.89698,0.85828,0.96772,0.67479,1.08633,1.00571,0.90119,0.000915875,0.000915875,0.000915875
