epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.345,0.45129,0.26163,0.77872,0.98939,0.99996,0.99475,0.92073,0.40668,0.23559,0.78625,0.000413105,0.000413105,0.000413105
2,50.5789,0.48788,0.28159,0.78067,0.9989,0.99889,0.995,0.90789,0.45119,0.2586,0.79191,0.000813343,0.000813343,0.000813343
3,73.5041,0.55424,0.31346,0.79018,0.99767,0.99914,0.995,0.87534,0.51821,0.28777,0.79887,0.00119708,0.00119708,0.00119708
4,96.3188,0.55661,0.31679,0.79309,0.9982,0.99941,0.99499,0.8837,0.52366,0.28297,0.79863,0.00117575,0.00117575,0.00117575
5,119.269,0.5451,0.3077,0.79047,0.99885,0.99954,0.995,0.90439,0.45092,0.2646,0.79421,0.001151,0.001151,0.001151
6,142.088,0.54865,0.30506,0.78842,0.99876,0.99936,0.995,0.87904,0.50683,0.26923,0.79948,0.00112625,0.00112625,0.00112625
7,165.125,0.54328,0.30659,0.79052,0.99903,0.99966,0.99499,0.89695,0.47136,0.26655,0.79593,0.0011015,0.0011015,0.0011015
8,188.094,0.54077,0.31331,0.79278,0.99948,0.99932,0.995,0.88514,0.47547,0.26582,0.79571,0.00107675,0.00107675,0.00107675
9,210.959,0.53189,0.31294,0.7902,0.99891,0.99852,0.995,0.89839,0.48017,0.26764,0.79743,0.001052,0.001052,0.001052
10,233.812,0.52789,0.31284,0.79308,0.99843,0.99558,0.99495,0.90411,0.46692,0.26597,0.79508,0.00102725,0.00102725,0.00102725
11,256.7,0.53074,0.30869,0.78757,0.99853,0.99926,0.995,0.89964,0.47352,0.25921,0.79418,0.0010025,0.0010025,0.0010025
12,279.662,0.53012,0.30433,0.79242,0.99765,0.99644,0.9939,0.9214,0.40499,0.24259,0.78994,0.00097775,0.00097775,0.00097775
13,302.569,0.51796,0.29381,0.78956,0.9992,0.99711,0.99469,0.91694,0.42003,0.24157,0.78993,0.000953,0.000953,0.000953
14,325.493,0.51112,0.28915,0.78472,0.99882,0.99862,0.99491,0.91452,0.42471,0.2483,0.79022,0.00092825,0.00092825,0.00092825
